method,horizon,n,RMSE,MAE,Bias,corr,mean_z,mean_abs_z,RMSE_rel_rw,RMSE_rel_arma
student_t,1,48,1.4510998802986408,0.7282108731868943,0.3250051644006292,0.8402360429256366,-0.12516783097123343,0.39602466365826955,0.6008141117154914,0.7217149304512084
student_t,2,48,0.9947045260185795,0.6368957954316189,0.23729635911122027,0.901993951963536,-0.3279584376130541,0.6818404989182326,0.3625966235423517,0.41031412334992373
student_t,3,47,0.9689827676586812,0.609786157584745,0.21024788131888952,0.9080714075942689,-0.35691183162365775,0.7444802700881957,0.3532203489915539,0.39970393664985526
student_t,4,48,0.9726831478016562,0.5979555567491341,0.1833902541415281,0.9135748521386554,-0.3989859151880973,0.821392135639937,0.37585349790534345,0.40974452659512334
gaussian,1,48,1.375636893338699,0.7210320804660998,0.3244703221595599,0.823673305511805,-0.13034551044983597,0.48309695333715025,0.5695693792933482,0.6841828727859385
gaussian,2,48,0.7833033336230254,0.5658695459838846,0.18057447831548243,0.9025443769825038,-0.4414093990119352,0.8733498080298663,0.2855351881407567,0.3231114489234779
gaussian,3,47,0.8510324741351987,0.596497414866286,0.203872552023125,0.911127210998908,-0.38857237197604105,0.8508987137675461,0.31022428628273174,0.3510496176837325
gaussian,4,48,0.849389667600447,0.579661944584292,0.17117265963858366,0.91590383237193,-0.4362732421204234,0.9245724111004664,0.3282117906265851,0.35780692616328036
arma22,1,48,2.010627491648855,0.9564908871469558,0.16683848860018444,-0.12375100759941882,-0.3101120905964337,0.3875775511464834,0.8324812004926501,1.0
arma22,2,48,2.424251249012641,0.9830758802400039,0.03983932166713633,-0.47224297520763725,-0.45186420807334327,0.5411179978722004,0.8837049541020122,1.0
arma22,3,48,2.424251249012641,0.9830758802400039,0.03983932166713633,-0.47224297520763725,-0.45186420807334327,0.5411179978722004,0.8837049541020122,1.0
arma22,4,48,2.373877098211451,0.9234041188998786,0.11522204848587252,-0.46231438386407747,-0.3378212520089417,0.4877527358140936,0.9172874157187503,1.0
random_walk,1,48,2.41522269867355,1.1659972586642642,-0.07729684356772014,-0.16549613318647,-0.6835069867137461,0.9575666451393713,1.0,1.2012283273282507
random_walk,2,48,2.7432812702471203,1.1890982559378187,0.025113056363649622,-0.23623249444350405,-0.6193786331473511,1.1147800971465784,1.0,1.1315994047087385
random_walk,3,48,2.7432812702471203,1.1890982559378187,0.025113056363649622,-0.23623249444350405,-0.6193786331473511,1.1147800971465784,1.0,1.1315994047087385
random_walk,4,48,2.587931609583213,1.0711880661989397,-0.10240989993136977,-0.33563713882493484,-0.6835069867137461,0.9575666451393713,1.0,1.090170848159341
